dislivello, alzata, pedata, numero alzate, rapporto, sviluppo
15.5, 15.5, 31, 1, 62, 0
15.55, 15.55, 30.9, 1, 62, 0
15.6, 15.6, 30.8, 1, 62, 0
15.65, 15.65, 30.7, 1, 62, 0
15.7, 15.7, 30.6, 1, 62, 0
15.75, 15.75, 30.5, 1, 62, 0
15.8, 15.8, 30.4, 1, 62, 0
15.85, 15.85, 30.3, 1, 62, 0
15.9, 15.9, 30.2, 1, 62, 0
15.95, 15.95, 30.1, 1, 62, 0
16, 16, 30, 1, 62, 0
16.05, 16.05, 29.9, 1, 62, 0
16.1, 16.1, 29.8, 1, 62, 0
16.15, 16.15, 29.7, 1, 62, 0
16.2, 16.2, 29.6, 1, 62, 0
16.25, 16.25, 29.5, 1, 62, 0
16.3, 16.3, 29.4, 1, 62, 0
16.35, 16.35, 29.3, 1, 62, 0
16.4, 16.4, 29.2, 1, 62, 0
16.45, 16.45, 29.1, 1, 62, 0
16.5, 16.5, 29, 1, 62, 0
16.55, 16.55, 28.9, 1, 62, 0
16.6, 16.6, 28.8, 1, 62, 0
16.65, 16.65, 28.7, 1, 62, 0
16.7, 16.7, 28.6, 1, 62, 0
16.75, 16.75, 28.5, 1, 62, 0
16.8, 16.8, 28.4, 1, 62, 0
16.85, 16.85, 28.3, 1, 62, 0
16.9, 16.9, 28.2, 1, 62, 0
16.95, 16.95, 28.1, 1, 62, 0
17, 17, 28, 1, 62, 0
17.05, 17.05, 27.9, 1, 62, 0
17.1, 17.1, 27.8, 1, 62, 0
17.15, 17.15, 27.7, 1, 62, 0
17.2, 17.2, 27.6, 1, 62, 0
17.25, 17.25, 27.5, 1, 62, 0
17.3, 17.3, 27.4, 1, 62, 0
17.35, 17.35, 27.3, 1, 62, 0
17.4, 17.4, 27.2, 1, 62, 0
17.45, 17.45, 27.1, 1, 62, 0
17.5, 17.5, 27, 1, 62, 0
17.55, 17.55, 26.9, 1, 62, 0
17.6, 17.6, 26.8, 1, 62, 0
17.65, 17.65, 26.7, 1, 62, 0
17.7, 17.7, 26.6, 1, 62, 0
17.75, 17.75, 26.5, 1, 62, 0
17.8, 17.8, 26.4, 1, 62, 0
17.85, 17.85, 26.3, 1, 62, 0
17.9, 17.9, 26.2, 1, 62, 0
17.95, 17.95, 26.1, 1, 62, 0
18, 18, 26, 1, 62, 0
18.05, 18.05, 25.9, 1, 62, 0
18.1, 18.1, 25.8, 1, 62, 0
18.15, 18.15, 25.7, 1, 62, 0
18.2, 18.2, 25.6, 1, 62, 0
18.25, 18.25, 25.5, 1, 62, 0
18.3, 18.3, 25.4, 1, 62, 0
18.35, 18.35, 25.3, 1, 62, 0
